title,Sigla,Plano Municipal,TAG,Prefeito,Status,Órgão Coordenador,Início,Fim,desc,Resumo_Excerto,Página,Ato Normativo,link,Título Spec
Plano de Segurança Viária do Município,,True,Transporte,Bruno Covas,Elaborado,SMT,12/31/2018,12/31/2028,"O Plano de Segurança Viária é um instrumento fundamental para orientar as políticas públicas de segurança viária do Município. Ele é uma peça de planejamento que visa coordenar e unificar as ações da Prefeitura com o objetivo de reduzir o número de fatalidades nas vias urbanas. Este plano está alinhado com iniciativas globais, como a Década de Ação para Segurança Global no Trânsito da ONU e a Agenda 2030 de Desenvolvimento Sustentável, que inclui a meta de garantir sistemas de transporte seguros, acessíveis e sustentáveis para todos. No contexto nacional, o plano se baseia na Lei Federal nº 13.614/18, que estabelece o Plano Nacional de Redução de Mortes e Lesões no Trânsito. Este plano tem como objetivo reduzir pela metade o número de mortes por grupo de veículos e por grupos de habitantes até 2028.","""o Comite Permante de Segurança Viária é a instância vinculada ao gabinete da SMT responsável pelas políticas públicas de segurança viária do município [...] A elaboração deste Plano de Segurança Viária é a primeira ação concreta do comitê""",71,Decreto Municipal n° 58.717/2019,https://www.prefeitura.sp.gov.br/cidade/secretarias/mobilidade/plano_seguranca_viaria/?p=262886,plano_de_seguranca_viaria_do_municipio
Plano Decenal de Assistência Social da Cidade de São Paulo,PDMASsp,True,Assistencia Social,Fernando Haddad,Elaborado,SMADS,1/1/2016,12/31/2026,"O PDMASsp busca identificar elementos que possam ajudar a compreender a realidade e os indicadores de vulnerabilidade social da população que vive em determinadas áreas, fazendo uma abordagem do território a partir de suas complexidades. O texto evita deliberadamente o termo ""território"", muitas vezes utilizado de forma equivocada, compreendido apenas como um espaço geográfico no mapa. Aborda, em contrapartida, o território a partir da perspectiva de Milton Santos, ou seja, de que o território é um construto histórico que envolve uma complexa rede de forças, culturas e relações. É, em suma, uma força em constante movimento, que exige uma compreensão mais profunda e holística de sua abordagem.","""O Plano Decenal apresentado pelo ente gestor é exigência da V Conferência Nacional de Assistência Social de 2005, que deliberou por: Construir Plano Decenal de Assistência Social em todas as esferas de gestão, seguido de planos anuais com ele coerentes...""",7,Resolução COMAS nº 1150/2016,https://www.prefeitura.sp.gov.br/cidade/secretarias/assistencia_social/biblioteca_de_artes/index.php?p=159382,plano_decenal_de_assistencia_social_da_cidade_de_sao_paulo
Plano Decenal de Atendimento Socioeducativo,,True,Direitos da Cidadania; Assistencia Social,Fernando Haddad,Elaborado,SMADS,1/1/2015,12/31/2025,"O Plano Decenal de Atendimento Socioeducativo do Município de São Paulo segue as diretrizes estabelecidas pelo Sistema Nacional de Atendimento Socioeducativo (SINASE), conforme a Lei nº 12.594 de 2012. Em colaboração com o Conselho Nacional dos Direitos da Criança e do Adolescente (CONANDA) e a Secretaria Especial de Direitos Humanos da Presidência da República, foi promovido um processo de debate e mobilização para elaborar planos de atendimento socioeducativo em níveis nacional, estadual e municipal, de forma articulada, o que, no que se refere ao município, resultou no Plano Decenal de Atendimento Socioeducativo que tem como objetivo organizar a execução das medidas socioeducativas, priorizando a garantia dos direitos fundamentais dos adolescentes que cumprem essas medidas em meio aberto. 3","""O PLANO DECENAL MUNICIPAL DE ATENDIMENTO SOCIOEDUCATIVO tem como objetivo direcionar a política do SIMASE – Sistema Municipal de Atendimento Socioeducativo, previsto na lei federal nº 12594/12, e que tem como foco os adolescentes cumprindo medidas socioeducativas em meio aberto, determinadas judicialmente.""",17,"Lei nº 12.594, de 18 de janeiro de 2012",https://www.prefeitura.sp.gov.br/cidade/secretarias/assistencia_social/biblioteca_de_artes/index.php?p=159382,plano_decenal_de_atendimento_socioeducativo
Plano Diretor Estratégico,PDE,True,Administração e Transparência,Fernando Haddad,Elaborado,SMUL,1/1/2014,12/31/2029,"O Plano Diretor Estratégico do Município de São Paulo é uma lei municipal que orienta o desenvolvimento e o crescimento da cidade até 2030. Elaborado com a participação da sociedade, o PDE direciona as ações dos produtores do espaço urbano, públicos ou privados, para que o desenvolvimento da cidade seja feito de forma planejada e atenda às necessidades coletivas de toda a população, visando garantir uma cidade mais moderna, equilibrada, inclusiva, ambientalmente responsável, produtiva e, sobretudo, com qualidade de vida.","""O Plano Diretor Estratégico do Município de São Paulo (PDE), aprovado e sancionado em 31 de julho de 2014, traz um amplo conjunto de  diretrizes, estratégias e medidas para ordenar a transformação da cidade. Representa um pacto da sociedade em direção à justiça social, ao uso mais racional dos recursos ambientais, à melhoria da qualidade de vida e à intensa participação social nas decisões sobre o futuro de São Paulo.""",9,"LEI Nº 16.050, DE 31 DE JULHO DE 2014, LEI Nº 17.975 DE 8 DE JULHO DE 2023 (revisão)","https://www.prefeitura.sp.gov.br/cidade/secretarias/licenciamento/legislacao/index.php?p=288078%23:~:text=O%20Plano%20Diretor%20Estrat%C3%A9gico%20do%20Munic%C3%ADpio%20de%20S%C3%A3o,desenvolvimento%20e%20o%20crescimento%20da%20cidade%20at%C3%A9%202030.",plano_diretor_estrategico
Plano Estratégico de Tecnologia da Informação e Comunicação,PETIC,True,Ciência e Tecnologia,Ricardo Nunes,Elaborado,SMIT,12/31/2021,1/1/2024,"A inovação e a tecnologia frequentemente são associadas à disrupção e ao desenvolvimento de produtos digitais, porém, isso só é viável com uma política pública focada no desenvolvimento das pessoas, capacitando-as continuamente. O PETIC, resultado do trabalho dos servidores da prefeitura, visa capacitar tanto os agentes públicos quanto os cidadãos no uso da tecnologia, visando otimizar serviços e promover inclusão social. O plano define metas estratégicas para a Administração Municipal e temas de tecnologia a serem desenvolvidos, alinhando-se com outros planejamentos setoriais, como o Plano de Metas, para suportar as políticas públicas municipais.","""O PETIC, então, reflete a estratégia da Tecnologia da Informação e Comunicação (TIC) na Prefeitura de São Paulo e deve estar alinhado a planejamentos mais amplos contidos, por exemplo, no Plano de Metas e demais planejamentos setoriais, dentro do escopo de suas respectivas temáticas. Dessa forma, a TIC deverá ser conduzida, por meio do PETIC, para suportar as políticas conduzidas no âmbito do Administração Pública Municipal.""",10,"Decreto Municipal Nº 57.653, de 07 de abril de 2017","https://tecnologia.prefeitura.sp.gov.br/?page_id=1098%23:~:text=Plano%20Estrat%C3%A9gico%20%28PETIC%29%20PLANO%20ESTRAT%C3%89GICO%20DE%20TECNOLOGIA%20Publicado,a%20constru%C3%A7%C3%A3o%20de%20uma%20cidade%20inteligente%20e%20humana.",plano_estrategico_de_tecnologia_da_informacao_e_comunicacao
Plano Intersetorial de Políticas Públicas para o Envelhecimento,,True,Direitos da Cidadania; Assistencia Social,Bruno Covas,Elaborado,SMDHC,1/1/2021,12/31/2024,"O Plano Intersetorial de Políticas Públicas (2021-2024) é um instrumento crucial de gestão pública que resultou de discussões entre técnicos de quinze secretarias municipais e representantes do Conselho Municipal do Idoso. Seu objetivo é definir metas e ações para promover o envelhecimento populacional de maneira condigna aos direitos humanos. Baseado em diversas perspectivas, será uma referência para o planejamento e a melhoria dos programas e serviços destinados aos idosos em São Paulo. Construído a partir de demandas da sociedade civil, o plano reflete os quatro eixos do Envelhecimento Ativo e Saudável, definidos pela Organização Mundial da Saúde, visando melhorar a qualidade de vida à medida que as pessoas envelhecem.","""O Plano Intersetorial de Políticas Públicas é um importante instrumento de gestão pública, construído a partir das discussões e deliberação entre os técnicos de quinze secretarias municipais da Prefeitura Municipal de São Paulo e dos idosos representados pelo Grande Conselho Municipal do Idoso. Neste sentido, visa definir objetivos, metas e ações orientadas ao envelhecimento populacional, de forma virtuosa e condigna aos princípios dos direitos humanos.""",10,"Sem ato específico. Legislação motivadora: LEI Nº 10.741, DE 1º DE OUTUBRO DE 2003.",https://www.prefeitura.sp.gov.br/cidade/secretarias/direitos_humanos/idosos/programas_e_projetos/index.php?p=319411,plano_intersetorial_de_politicas_publicas_para_o_envelhecimento
Plano Municipal de Ações para Pessoas com Deficiência,INCLUI SAMPA,True,Direitos da Cidadania; Assistencia Social,,Elaborado,SMPED,1/1/2021,12/31/2024,"O Inclui Sampa, Plano Municipal de Ações para Pessoas com Deficiência, nasceu do diálogo transversal e intersecretarial entre a Secretaria Municipal da Pessoa com Deficiência (SMPED) e a Cidade de São Paulo, a fim de apresentar compromissos e metas para aperfeiçoar a qualidade, ampliar a quantidade e aumentar o número de serviços ofertados às pessoas com deficiência no município, de forma a pactuar e promover ações articuladas com diferentes órgãos municipais, bem como estabelecer metas e indicadores que permitam acompanhar a execução do plano e efetuar eventuais correções, em um processo de melhoria contínua.","""O Inclui Sampa - Plano Municipal de Ações para Pessoas com Deficiência nasce do diálogo transversal e intersecretarial entre a Secretaria Municipal da Pessoa com Deficiência (SMPED) e a Cidade de São Paulo, a fim de apresentar compromissos e metas para aperfeiçoar a qualidade, ampliar a quan??dade e aumentar o número de serviços ofertados às pessoas com deficiência no município, de forma a pactuar e promover ações ar??culadas com diferentes órgãos municipais, bem como estabelecer metas e indicadores que permitam acompanhar a execução do plano e efetuar eventuais correções, em um processo de melhoria con??nua.""",1,"Sem ato específico. Possível lei motivadora: LEI Nº 13.146, DE 6 DE JULHO DE 2015.",https://www.prefeitura.sp.gov.br/cidade/secretarias/pessoa_com_deficiencia/noticias/?p=319979,plano_municipal_de_acoes_para_pessoas_com_deficiencia
Plano Municipal de Agroecologia e Desenvolvimento Rural Sustentável e Solidário,Plano Rural,True,Agricultura,Ricardo Nunes,Elaborado,SDMET/CA,1/1/2022,12/31/2030,"O Plano Municipal de Agroecologia e Desenvolvimento Rural Sustentável, elaborado em conjunto com o Conselho Municipal de Desenvolvimento Rural Solidário e Sustentável (CMDRSS), é resultado de oficinas temáticas realizadas com agricultores e movimentos sociais em 2018, seguidas por uma consulta pública. O plano visa promover a inclusão econômica e incentivar o crescimento das atividades agroecológicas no município, melhorando as condições de trabalho dos agricultores familiares urbanos e rurais.","O primeiro Plano Municipal de Agroecologia e Desenvolvimento Rural Sustentável realizado na cidade de São Paulo é um documento sólido, construído juntamente com a sociedade civil e aprovado por quem trabalha e vive do campo e da agricultura. Esse documento é norteador da atividade pública municipal que apoiará, direta e indiretamente a agroecologia na cidade até 2030.",7,DECRETO Nº 62.610 DE 28 DE JULHO DE 2023,https://drive.google.com/file/d/10rKhr_e5bQ2S0_aJOVloBv1B-hkWimNc/view?usp=share_link,plano_municipal_de_agroecologia_e_desenvolvimento_rural_sustentavel_e_solidario
Plano Municipal de Arborização Urbana,PMAU,True,Gestão Ambiental; Urbanismo e Zeladoria,,Elaborado,SVMA,1/1/2021,12/31/2040,"O Plano Municipal de Arborização Urbana (PMAU) é um instrumento para o planejamento e gestão da arborização em São Paulo, visando aumentar a resiliência da cidade às mudanças climáticas, qualificar a paisagem e satisfazer a população, com base nos princípios da ecologia e das cidades inteligentes. O PMAU é fundamentado em ações participativas e contribui para a implementação dos Objetivos de Desenvolvimento Sustentável (ODS), especialmente os relacionados às cidades sustentáveis, ação climática e vida terrestre. Elaborado por um grupo técnico e com participação da população, o plano consiste em sete capítulos que abordam temas como conhecimento, engajamento, plantio, cuidado e integração. Um diagnóstico amplo da arborização municipal embasa um plano de ação com objetivos específicos, como ampliar e qualificar a cobertura arbórea, envolver a comunidade, basear as ações em evidências científicas e promover a integração institucional para uma gestão eficaz da arborização.","""o Plano Municipal de Arborização Urbana (PMAU) é um instrumento para definir o planejamento, a implantação e o manejo da arborização urbana no Município (SÃO PAULO [Cidade], 2014). Além disso, o PMAU está previsto no Programa de Metas 2019-2020 como Objetivo Estratégico 30: “Dar sustentabilidade ambiental à cidade, com a Meta Associada 30.1: “Melhorar 200 posições no ranking estabelecido pelo Programa Município Verde Azul1”, Iniciativa 30d""",36,"Lei Municipal nº 16.050/2014 - Plano Diretor Estratégico do Município de São Paulo, Lei Municipal n° 14.186 ",https://www.prefeitura.sp.gov.br/cidade/secretarias/meio_ambiente/projetos_e_programas/index.php?p=284680,plano_municipal_de_arborizacao_urbana
Plano Municipal de Áreas Protegidas Áreas Verdes e Espaços Livres,PLANPAVEL,True,Gestão Ambiental,Ricardo Nunes,Elaborado,SVMA,1/1/2022,12/31/2032,"O Plano Municipal de Áreas Protegidas, Áreas Verdes e Espaços Livres (PLANPAVEL), aprovado pela Resolução CADES 228/CADES/2022, é um instrumento de planejamento e gestão que tem como objetivo principal definir uma política para a gestão e provisão de áreas verdes e proteção do patrimônio ambiental no município de São Paulo. O PLANPAVEL segue os princípios do Plano Diretor Estratégico do município e de documentos de organismos nacionais e internacionais relacionados ao meio ambiente urbano. Além disso, está alinhado com a Nova Agenda Urbana, que propõe cidades inclusivas, seguras, saudáveis, acessíveis, resilientes e sustentáveis, e com a Agenda 2030 da ONU e seus Objetivos de Desenvolvimento Sustentável (ODS).","""O Plano Municipal de Áreas Protegidas, Áreas Verdes e Espaços Livres - PLANPAVEL constitui um dos instrumentos de planejamento e gestão do Sistema de Áreas Protegidas, Áreas Verdes e Espaços Livres estabelecido pelo Plano Diretor Estratégico (Lei 16.050/2014), cujo objetivo primordial é definir uma política de gestão e provisão de áreas verdes e de proteção do patrimônio ambiental do município de São Paulo.""",12,PORTARIA SECRETARIA DO GOVERNO MUNICIPAL - SGM Nº 192 DE 6 DE AGOSTO DE 2019,,plano_municipal_de_areas_protegidas_areas_verdes_e_espacos_livres
Plano Municipal de Conservação e Recuperação da Mata Atlântica,PMMA,True,Gestão Ambiental,João Doria,Elaborado,SVMA,1/1/2016,12/31/2030,"O Plano Municipal de Conservação e Recuperação da Mata Atlântica (PMMA), criado pela Lei da Mata Atlântica, é um instrumento legal que permite que os municípios atuem na preservação dessa vegetação. Integrado ao Plano Diretor Estratégico (PDE) de São Paulo, o PMMA foi desenvolvido pela Prefeitura em colaboração com várias entidades. O plano define ações prioritárias e áreas para conservação, manejo e recuperação da Mata Atlântica na cidade, com base em mapeamentos de remanescentes vegetais. Ele promove experimentos tecnológicos sustentáveis e a gestão que equilibra a conservação ambiental com o desenvolvimento econômico e cultural. Além disso, incentiva a participação cidadã na gestão pública e inclui ações como educação ambiental, gestão de resíduos sólidos e ecoturismo. O PMMA também fornece subsídios para outras políticas e programas municipais, como saneamento básico, desenvolvimento rural sustentável e o próprio PDE.","""O objetivo do plano é o de apontar áreas prioritárias para a conservação e recuperação da Mata Atlântica, baseando-se justamente no mapeamento de remanescentes existentes no Município de São Paulo. O plano fornecerá subsídios para outros planos e programas do município...""",30,"LEI Nº 11.428, DE 22 DE DEZEMBRO DE 2006, Lei Municipal nº 16.050/2014 - Plano Diretor Estratégico do Município de São Paulo",https://www.prefeitura.sp.gov.br/cidade/secretarias/meio_ambiente/pmma/index.php?p=191882,plano_municipal_de_conservacao_e_recuperacao_da_mata_atlantica
